n:1 mse_avg:6.70 mse_y:9.88 mse_u:0.36 mse_v:0.35 psnr_avg:39.87 psnr_y:38.18 psnr_u:52.51 psnr_v:52.68 
n:2 mse_avg:7.53 mse_y:11.10 mse_u:0.42 mse_v:0.40 psnr_avg:39.36 psnr_y:37.68 psnr_u:51.93 psnr_v:52.15 
n:3 mse_avg:7.06 mse_y:10.35 mse_u:0.48 mse_v:0.46 psnr_avg:39.64 psnr_y:37.98 psnr_u:51.31 psnr_v:51.46 
n:4 mse_avg:6.37 mse_y:9.29 mse_u:0.52 mse_v:0.52 psnr_avg:40.09 psnr_y:38.45 psnr_u:51.01 psnr_v:51.00 
n:5 mse_avg:5.12 mse_y:7.46 mse_u:0.43 mse_v:0.42 psnr_avg:41.04 psnr_y:39.40 psnr_u:51.84 psnr_v:51.95 
n:6 mse_avg:4.88 mse_y:7.01 mse_u:0.62 mse_v:0.61 psnr_avg:41.25 psnr_y:39.68 psnr_u:50.22 psnr_v:50.25 
n:7 mse_avg:4.97 mse_y:7.13 mse_u:0.68 mse_v:0.66 psnr_avg:41.16 psnr_y:39.60 psnr_u:49.80 psnr_v:49.96 
n:8 mse_avg:4.37 mse_y:6.23 mse_u:0.63 mse_v:0.65 psnr_avg:41.73 psnr_y:40.19 psnr_u:50.11 psnr_v:49.98 
n:9 mse_avg:4.76 mse_y:6.83 mse_u:0.60 mse_v:0.61 psnr_avg:41.36 psnr_y:39.79 psnr_u:50.32 psnr_v:50.27 
n:10 mse_avg:10.04 mse_y:14.53 mse_u:1.20 mse_v:0.92 psnr_avg:38.11 psnr_y:36.51 psnr_u:47.34 psnr_v:48.48 
n:11 mse_avg:10.44 mse_y:15.12 mse_u:1.20 mse_v:0.99 psnr_avg:37.94 psnr_y:36.34 psnr_u:47.36 psnr_v:48.19 
n:12 mse_avg:5.96 mse_y:8.61 mse_u:0.66 mse_v:0.68 psnr_avg:40.37 psnr_y:38.78 psnr_u:49.95 psnr_v:49.81 
